OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,ROUTE_DIR,ROUTE_PREFIX,ROUTE_NUMBER,ROUTE_SUFFIX,RAMP_NUMBER,RAMP_SUFFIX,ROAD_TYPE,TOWN_NUMBER,TOWN_NAME,PRI_SEC_STATUS,YEAR,GlobalID,Shape__Length
43146,95-S-282,0,0.13,L,I,95,,282,,ER,101,NORTH STONINGTON,PRI,2022,973c544b-8218-42df-a816-39fa8d44a5c6,597.7267574
43147,95-S-282A,0,0.01,L,I,95,,282,A,ER,101,NORTH STONINGTON,PRI,2022,2e1eec7e-8fb4-4199-8e00-0c957b358e93,122.1554845
43148,95-S-301,0,0.13,L,I,95,,301,,XR,102,NORWALK,PRI,2022,db3f9988-bee6-4144-afad-747644ee52e5,703.3802664
43149,95-S-39,0,0.08,L,I,95,,39,,ER,35,DARIEN,PRI,2022,e7061cab-32f7-474d-ad8f-fa31f1302e33,480.537002
43150,95-S-43,0,0.15,L,I,95,,43,,ER,35,DARIEN,PRI,2022,ed22dbb2-1a4e-47b0-985c-65c2b549d365,787.4511947
43151,95-S-45A,0,0.01,L,I,95,,45,A,ER,35,DARIEN,PRI,2022,2ef6602a-972d-48f3-ac70-2eb30e8b495e,107.2091482
43152,95-S-69,0,0.13,L,I,95,,69,,XR,50,FAIRFIELD,PRI,2022,403b2084-b58c-41b6-8d14-b975ae57335b,707.6607976
43153,95-S-821,0,0.3,L,I,95,,821,,TR,58,GROTON,PRI,2022,187b7ba2-8b0a-478d-82e2-32e0f788aaaa,1543.974674
43154,97-N,14.36,22.26,L,CT,97,,,,M,62,HAMPTON,PRI,2022,de9394f0-bd3f-49ad-a2a3-0c4a52a1a56f,41713.70598
43155,99L-N,0,0.18,L,SP,99,L,,,M,143,TORRINGTON,PRI,2022,cc2485d9-5c29-4be5-834e-93e33eb2d8b4,999.0922444
43156,1-N,73.96,77.87,L,US,1,,,,M,154,WESTBROOK,PRI,2022,a702ab37-4544-463b-850e-0907d48458b2,20677.5936
43157,102-E,0,3.45,L,CT,102,,,,M,117,RIDGEFIELD,PRI,2022,ecf00154-b268-465b-90a3-f2be7286fce4,18241.11623
43158,123-N,2.64,8.37,L,CT,123,,,,M,89,NEW CANAAN,PRI,2022,a3307cda-4831-424a-a090-81ab76416056,30295.96065
43159,129M-N,0,0.71,L,SF,129,M,,,M,3,ASHFORD,PRI,2022,67248e69-4e5f-4c1a-b362-b291514cd785,3726.570864
43160,136-N,7.25,14.51,L,CT,136,,,,M,158,WESTPORT,PRI,2022,98e40de5-9e53-4112-894a-e3c9c23322fd,38341.90592
43161,145-N,8.46,9.91,L,CT,145,,,,M,26,CHESTER,PRI,2022,908b882e-b4d2-476d-9810-da856a7685fd,7644.22423
43162,15-N-111,0,0.19,L,CT,15,,111,,ER,106,ORANGE,PRI,2022,555c6ac5-df21-4d57-a589-5b3bc9ba23ac,1013.592676
43163,15-N-147A,0,0.02,L,CT,15,,147,A,ER,79,MERIDEN,PRI,2022,46796c3b-9f5f-42e3-9bbd-b411714ba0b8,150.2271817
43164,15-N-221,0,0.15,L,CT,15,,221,,ER,61,HAMDEN,PRI,2022,6a5447f7-6d45-478e-ae0e-95749c2391bd,729.2212206
43165,15-N-223,0,0.11,L,CT,15,,223,,ER,148,WALLINGFORD,PRI,2022,b595578a-3b3f-4c24-aad1-2a6b6a52f815,594.4215341
43166,15-N-806,0,0.5,L,CT,15,,806,,TR,144,TRUMBULL,PRI,2022,95fbb3ea-4ce8-44f8-b684-0f3d1cf14e45,2908.100596
43167,15-S,39.55,43.4,R,CT,15,,,,M,106,ORANGE,PRI,2022,734da909-9b03-4572-b98f-643b155b7b30,20316.5916
43168,15-S,45.5,45.81,R,CT,15,,,,M,167,WOODBRIDGE,PRI,2022,8a07d6a4-f445-46c6-96c1-374adbfe96f3,1635.652854
43169,15-S-140,0,0.21,L,CT,15,,140,,XR,148,WALLINGFORD,PRI,2022,f6d82004-b8d3-494f-b1be-1e3bc7e3cf7f,1167.139001
43170,15-S-153,0,0.04,L,CT,15,,153,,ER,159,WETHERSFIELD,PRI,2022,975ac82d-bb7e-470a-87b6-be096706dd00,259.3389941
43171,150-N,8.63,9.04,L,CT,150,,,,M,148,WALLINGFORD,PRI,2022,08709585-46b1-46ad-a5c6-fd6bb2414d08,2145.400427
43172,160L-N,0,0.22,L,SP,160,L,,,M,152,WATERFORD,PRI,2022,d415c3fd-21ce-4647-a2b9-012b7625ff23,1221.135238
43173,165-E,12.2,13.69,L,CT,165,,,,M,147,VOLUNTOWN,SEC,2022,93bb48d0-83fa-4ea1-8a28-c51053f7879d,7884.437687
43174,84-E-704,0,0.15,L,I,84,,704,,HR,42,EAST HARTFORD,PRI,2022,6cbd39da-f1c9-46d9-a276-dd66c5db9290,782.8918791
43175,84-E-811,0,0.23,L,I,84,,811,,TR,151,WATERBURY,PRI,2022,cb9efa83-6638-4aaf-8e7e-c3cdcfbcdb32,1350.839536
43176,84-W,10.05,10.4,R,I,84,,,,M,18,BROOKFIELD,PRI,2022,b4f81851-aab0-44ab-830c-9ffb28e3f6a0,1866.785386
43177,84-W-206,0,0.33,L,I,84,,206,,XR,34,DANBURY,PRI,2022,7ba26118-815c-4916-9302-4d9834d19963,1754.732155
